Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      3.09     0.00        2     0.00     0.00  SoundSDL::init(long)
  0.00      3.09     0.00        2     0.00     0.00  SoundSDL::resume()
  0.00      3.09     0.00        2     0.00     0.00  fex_close
  0.00      3.09     0.00        2     0.00     0.00  fex_done
  0.00      3.09     0.00        2     0.00     0.00  fex_identify_header
  0.00      3.09     0.00        2     0.00     0.00  fex_name
  0.00      3.09     0.00        2     0.00     0.00  fex_open
  0.00      3.09     0.00        1     0.00     0.00  _GLOBAL__sub_I_debugger
  0.00      3.09     0.00        1     0.00     0.00  _GLOBAL__sub_I_dexp_result
  0.00      3.09     0.00        1     0.00     0.00  _GLOBAL__sub_I_inBios
