Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      2.77     0.00        2     0.00     0.00  utilStripDoubleExtension(char const*, char*)
  0.00      2.77     0.00        2     0.00     0.00  rtcEnable(bool)
  0.00      2.77     0.00        2     0.00     0.00  new_binary()
  0.00      2.77     0.00        2     0.00     0.00  thumb00_0A(unsigned int)
  0.00      2.77     0.00        2     0.00     0.00  thumb08_06(unsigned int)
  0.00      2.77     0.00        2     0.00     0.00  thumb08_07(unsigned int)
  0.00      2.77     0.00        2     0.00     0.00  thumb10_01(unsigned int)
  0.00      2.77     0.00        2     0.00     0.00  Blip_Synth_::Blip_Synth_(short*, int)
  0.00      2.77     0.00        2     0.00     0.00  blargg_vector_::resize_(unsigned long, unsigned long)
  0.00      2.77     0.00        2     0.00     0.00  Std_File_Reader::~Std_File_Reader()
  0.00      2.77     0.00        2     0.00     0.00  Binary_Extractor::open_path_v()
  0.00      2.77     0.00        2     0.00     0.00  Binary_Extractor::~Binary_Extractor()
  0.00      2.77     0.00        2     0.00     0.00  fex_t::open(char const*)
  0.00      2.77     0.00        2     0.00     0.00  fex_t::stat()
  0.00      2.77     0.00        2     0.00     0.00  fex_t::close()
  0.00      2.77     0.00        2     0.00     0.00  fex_t::fex_t(fex_type_t_ const*)
  0.00      2.77     0.00        2     0.00     0.00  fex_t::~fex_t()
  0.00      2.77     0.00        2     0.00     0.00  SoundSDL::init(long)
  0.00      2.77     0.00        2     0.00     0.00  fex_close
  0.00      2.77     0.00        2     0.00     0.00  fex_done
  0.00      2.77     0.00        2     0.00     0.00  fex_identify_header
  0.00      2.77     0.00        2     0.00     0.00  fex_name
  0.00      2.77     0.00        2     0.00     0.00  fex_open
  0.00      2.77     0.00        1     0.00     0.00  _GLOBAL__sub_I_debugger
  0.00      2.77     0.00        1     0.00     0.00  _GLOBAL__sub_I_dexp_result
  0.00      2.77     0.00        1     0.00     0.00  _GLOBAL__sub_I_inBios
  0.00      2.77     0.00        1     0.00     0.00  _GLOBAL__sub_I_remotePort
  0.00      2.77     0.00        1     0.00     0.00  _GLOBAL__sub_I_soundDriver
  0.00      2.77     0.00        1     0.00     0.00  eepromInit()
  0.00      2.77     0.00        1     0.00     0.00  flashReset()
  0.00      2.77     0.00        1     0.00     2.43  soundReset()
  0.00      2.77     0.00        1     0.00     0.00  SetSaveType(int)
  0.00      2.77     0.00        1     0.00     0.00  sdlFindFile(char const*)
  0.00      2.77     0.00        1     0.00     0.00  flashSetSize(int)
